teks,label
"BUKU PEMBANTU PAJAK
Tahun Anggaran: (2021)
Kementerian / Lembaga : (054) BADAN PUSAT STATISTIK
Unit Organisasi : (01) Badan Pusat Statistik
Provinsi/Kabupaten/Kota : (17.00) SULAWESI UTARA
Satuan Kerja : (428701) BADAN PUSAT STATISTIK PROP. SULAWESI UTARA
Dokumen : (01) DIPA
Nomor/Tanggal Dokumen > DIPA-054,.01.2.428701/2021 {23-11-2020
3,00 : 10-06-2021 DIPA-054.01.2.428701/2021 Revisi ke 03
KPPN : (049) MANADO
Bulan ; Juli 2021
Penerimaan (Debet) Pengeluaran
TGL |NO. BK URAIAN 8 Saldo
PPN PPh Ps 21 | PPh Ps22 | PPh Ps 23 | Lain-lain Kredit",1
"BUKU PEMBANTU PAJAK
   Tahun Anggaran                        : (2021)
   Kementerian / Lembaga                 : (054)             BADAN PUSAT STATISTIK
   Unit Organisasi                       : (01)              Badan Pusat Statistik
   Provinsi/Kabupaten/Kota               : (01.55)           KOTA JAKARTA TIMUR
   Satuan Kerja                          : (690332)          Sekolah Tinggi Ilmu Statistik

   Dokumen                               : (01)         DIPA
   Nomor/Tanggal Dokumen                 : DIPA-054.01.1.690332/2021                          /    23-11-2020
   KPPN                                  : (019)             JAKARTA II

    Bulan : Juli 2021
                                                                                          Penerimaan (Debet)                               Pengeluaran
        TGL      NO. B/K                 URAIAN                                                                                                                     Saldo
                                                                     PPN          PPh Ps 21       PPh Ps 22      PPh Ps 23 Lain-lain         Kredit",1
"BUKU PEMBANTU PAJAK
Tahun Anggaran (2021)

Kementerian / Lembaga (054) BADAN PUSAT STATISTIK

Unit Organisasi (01) Badan Pusat Statistik

Provinsi/Kabupaten/Kota (13.00) KALIMANTAN BARAT

Satuan Kerja (428377) BADAN PUSAT STATISTIK PROP. KALIMANTAN BARAT

Dokumen (01) DIPA

Nomor/Tanggal Dokumen DIPA-054.01.2.428377/2021 { 23-11-2020
3,00 05-07-2021 DIPA-054.01.2.428377/2021 Revisi ke 03

KPPN (042) PONTIANAK

Bulan : Juli 2021

Penprimaan (Deb Pengeluaran
TGL | NO. B/K' URAIAN ) : 7 Saldo
PPN PPh Ps 21 | PPh Ps 22 | PPh Ps 23 | Lain-lain Kredit",1
"BUKU PEMBANTU PAJAK

Tahun Anggaran

Kementerian / Lembaga

Unit Organisasi

Provinsi/Kabupaten/Kota

Satuan Kerja

Dokumen

Nomor/Tanggal Dokumen

KPPN

Bulan : Juli 2021
(2021)
(054)
(01)
(19.00)
(428820)

(01) DIPA

(136)

DIPA-054.01.2.428820/2021
MAKASSAR II

BADAN PUSAT STATISTIK
Badan Pusat Statistik
SULAWESI SELATAN
BADAN PUSAT STATISTIK PROP. SULAWESI SELATAN

23-11-2020

 

TGL |NO. BK

URAIAN

Penerimaan (Debet)

Pengeluaran

 

PPN

PPh Ps 21

PPh Ps 22

PPh Ps 23

Lain-lain Kredit

Saldo",1
"BUKU PEMBANTU PAJAK
Tahun Anggaran
Kementerian / Lembaga

: (2021)
: (054)

Unit Organisasi

: (01)

Badan Pusat Statistik

Provinsi/Kabupaten/Kota

: (21.00)
: (429119)

MALUKU

Satuan Kerja
Dokumen
Nomor/Tanggal Dokumen
3,00
KPPN

BADAN PUSAT STATISTIK

BADAN PUSAT STATISTIK PROP. MALUKU

: (01)
DIPA
: DIPA-054.01.2.429119/2021
: 29-07-2021
: (061)

/

23-11-2020

DIPA-054.01.2.429119/2021 Revisi ke 03
AMBON

Bulan : Juli 2021
TGL

NO. B/K

URAIAN
Saldo Awal

02-07-202

Penerimaan (Debet)

PPN
2.494.546

000984 Pungut Pajak PPH Pasal 21 Nomor

PPh Ps 21

PPh Ps 22

9.647.400

423.682

Pengeluaran
Kredit

PPh Ps 23 Lain-lain
0

0

Saldo",1
"BUKU PEMBANTU PAJAK

Tahun Anggaran > (2021)

Kementerian / Lembaga : (054) BADAN PUSAT STATISTIK

Unit Organisasi : (01) Badan Pusat Statistik

Provinsi/Kabupaten/Kota : (14.00) KALIMANTAN TENGAH

Satuan Kerja : (428459) BADAN PUSAT STATISTIK PROP. KALIMANTAN TENGAH

Dokumen : (01) DIPA

Nomor/Tanggal Dokumen : DIPA-054.01.2.428459/2021 f 23-11-2020
6,00 : 14-07-2021 DIPA-054.01.2.428459/2021 Revisi ke 06

KPPN > (043) PALANGKARAYA

 

Bulan : Juli 2021
Penerimaan (Debet) Pengeluaran

PPN PPh Ps 21 | PPh Ps 22 | PPh Ps 23 | Lain-lain Kredit

 

TGL | NO. BAK URAIAN Saldo",1
"BUKU PEMBANTU PAJAK

Tahun Anggaran : (2021)

Kementerian / Lembaga : (054) BADAN PUSAT STATISTIK

Unit Organisasi : (01) Badan Pusat Statistik

Provinsi/Kabupaten/Kota : (18.00) SULAWESI TENGAH

Satuan Kerja : (428779)  BADAN PUSAT STATISTIK PROP. SULAWESI TENGAH

Dokumen : (01) DIPA

Nomor/Tanggal Dokumen : DIPA-054.01.2.428779/2021 23-11-2020

KPPN : (051) PALU

Bulan : Juli 2021

Penerimaan (Debet) Pengeluaran
TGL | NO. BIK URAIAN 9 . Saldo
PPN PPh Ps 21 | PPh Ps 22 | PPh Ps 23 | Lain-lain Kredit",1
"BUKU PEMBANTU PAJAK
Tahun Anggaran
Kementerian / Lembaga
Unit Organisasi
Provinsi/Kabupaten/Kota
Satuan Kerja

(2021)
(054) BADAN PUSAT STATISTIK
(01) Badan Pusat Statistik

(30.00) BANGKA BELITUNG

(636888) BADAN PUSAT STATISTIK PROP. KEPULAUAN BANGKA BELITUNG

Dokumen (01) DIPA

Nomor/Tanggal Dokumen DIPA-054.01.2.636888/2021 / 23-11-2020

KPPN (015) PANGKAL PINANG

Bulan : Juli 2024

Penerimaan (Debet)
TGL URAIAN Pengelaran Saldo
PPN PPh Ps 21 | PPh Ps 22 | PPh Ps 23 | Lain-lain Kredit",1
"BUKU PEMBANTU PAJAK
Tahun Anggaran
Kementerian / Lembaga

: (2021)
: (054)

Unit Organisasi

: (01)

Badan Pusat Statistik

Provinsi/Kabupaten/Kota

: (15.00)
: (428522)

KALIMANTAN SELATAN

Satuan Kerja
Dokumen

BADAN PUSAT STATISTIK

BADAN PUSAT STATISTIK PROP. KALIMANTAN SELATAN

Nomor/Tanggal Dokumen

: (01)
DIPA
: DIPA-054.01.2.428522/2021

KPPN

: (045)


23-11-2020

BANJARMASIN

Bulan : Desember 2021
TGL NO. B/K

URAIAN
Saldo Awal

Penerimaan (Debet)

PPN
64.156.176

PPh Ps 21

PPh Ps 22

30.009.635

5.690.431

Pengeluaran
Kredit

PPh Ps 23 Lain-lain",1
"BUKU PEMBANTU PAJAK
Tahun Anggaran
Kementerian / Lembaga

: (2021)
: (054)

Unit Organisasi

: (01)

Badan Pusat Statistik

Provinsi/Kabupaten/Kota

: (26.00)
: (429564)

BENGKULU

Satuan Kerja
Dokumen

BADAN PUSAT STATISTIK

BADAN PUSAT STATISTIK PROP. BENGKULU

Nomor/Tanggal Dokumen

: (01)
DIPA
: DIPA-054.01.2.429564/2021

KPPN

: (016)

/

23-11-2020

BENGKULU

Bulan : Desember 2021
TGL

NO. B/K

Penerimaan (Debet)

URAIAN
PPN
Saldo Awal

01-12-202

12.778.160

002470 Pungut Pajak PPH Pasal 21 Nomor

PPh Ps 21

PPh Ps 22

22.870.100

3.632.520

Pengeluaran
Kredit

PPh Ps 23 Lain-lain",1
